| fixture | lane | ok | bytes | sha12 | charCodeAt/length imports | reaches | helpers in wat | demoted |
| FOROF | wasi | y | 49326 | b0d5e125349f | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| FOROF | linear | N | 0 | e3b0c44298fc | - | - | - | COMPILE-FAIL: Codegen error: Unsupported method call: .charCodeAt() |
| CHAIN | gc-host | y | 345 | 94f7a78f834e | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.chain@0 global:string_constants.@1 func:env.string_trim#2 | plan:stringMethodPlan/host=1 fromast:planCall/__jsstr_charCodeAt=1 resolve:6417/host-guarded=1 | __jsstr_charCodeAt | - |
| CHAIN | gc-native-strings | y | 22668 | 3820370b75d3 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| CHAIN | standalone | y | 22832 | d919a455b0d4 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| CHAIN | wasi | y | 22859 | eda341491031 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| CHAIN | linear | N | 0 | e3b0c44298fc | - | - | - | COMPILE-FAIL: Codegen error: Unsupported method call: .charCodeAt() |
| SUBCONST | gc-host | y | 319 | 430379a78449 | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.sub@0 global:string_constants.@1 func:env.string_substring#2 | plan:preferLegacyFlatSubstring/true=2 fromast:preferLegacy-null/demote-legacy=2 | - | sub:method-call-unsupported |
| SUBCONST | gc-native-strings | y | 22586 | 031a6f575094 | - | plan:preferLegacyFlatSubstring/true=2 fromast:preferLegacy-null/demote-legacy=2 | __str_flatten | sub:method-call-unsupported |
| SUBCONST | standalone | y | 22750 | dbc3db32001b | - | plan:preferLegacyFlatSubstring/true=2 fromast:preferLegacy-null/demote-legacy=2 | __str_flatten | sub:method-call-unsupported |
| SUBCONST | wasi | y | 22777 | a01f3ae38bbe | - | plan:preferLegacyFlatSubstring/true=2 fromast:preferLegacy-null/demote-legacy=2 | __str_flatten | sub:method-call-unsupported |
| SUBCONST | linear | N | 0 | e3b0c44298fc | - | - | - | COMPILE-FAIL: Codegen error: Unsupported method call: .substring();Codegen error: Unsupported  |
| CLEAN | gc-host | y | 119 | a734964356e5 | global:string_constants.clean@0 global:string_constants.@1 | - | - | - |
| CLEAN | gc-native-strings | y | 21977 | 07067e4c76dc | - | - | __str_flatten | - |
| CLEAN | standalone | y | 22592 | 23cc3ba48737 | - | - | __str_flatten | - |
| CLEAN | wasi | y | 22619 | c05c31ff8cfc | - | - | __str_flatten | - |
| CLEAN | linear | y | 4878 | eab66857b0be | - | - | - | - |
