| fixture | lane | ok | bytes | sha | concat-ish imports | reaches | demoted |
| ASYNC | standalone | y | 140892 | 2d063f76ce31 | - | concat-async5:native×5=1; native-batched:5-mint=1 [batch-decision:unchanged(standalone)=18] | - |
| ASYNC | wasi | y | 120698 | 1395c854c66d | - | native-batched:5-mint=1; legacy-native-batched:5=2; native-batched:5-cached=1 | delay:body-shape-rejected fetchUser:async-function fetchAllSequential:async-function fetchAllParallel:async-function main:async-function |
| ASYNC | linear | N | 0 | e3b0c44298fc | - | - | - |
| ASYNC | gc-strict | N | 0 | e3b0c44298fc | - | flush:+1@1(defined 90)=1 | setTimeout:late-preparation-unsupported delay:body-shape-rejected fetchUser:call-graph-closure fetchAllSequential:call-graph-closure fetchAllParallel:call-graph-closure main:host-surface-unavailable |
| EVALFN | gc-host | y | 2546 | 15cd9f41cf31 | - | flush:+1@57(defined 2)=1; flush:+1@76(defined 3)=1; flush:+1@77(defined 4)=1; flush:+1@78(defined 5)=1 | mk:constructor-resolution-unsupported |
| EVALFN | gc-native-strings | y | 24470 | b7c6df8c0aab | - | flush:+1@52(defined 52)=1; flush:+1@71(defined 53)=1; flush:+1@72(defined 54)=1; flush:+1@73(defined 55)=1 | mk:constructor-resolution-unsupported |
| EVALFN | standalone | y | 192791 | 3f56f1c2a58e | - | - | mk:constructor-resolution-unsupported |
| EVALFN | wasi | y | 104996 | 14b0e963c63a | - | - | mk:constructor-resolution-unsupported |
| EVALFN | linear | N | 0 | e3b0c44298fc | - | - | - |
| EVALFN | gc-strict | y | 97736 | a61ffa36edd8 | - | - | mk:constructor-resolution-unsupported |
